Class,Comment,Sentiment
Police,Sir i am shiv lal meena central govt employee as pgt in kv sangthan traveling on 21/02/2019 in train no 19609 udaipur-haridwar exp. And my seat is in s1 coach 48 and suitcase is under my seat hold by chain which is stolen between jaipur to old delhi railway station. My all educational documents are in the suitcase. So please help me to overcome this situation because documents are very important for a employee.,Positive
Police,"Its really shameful to see a 40 year old lady being harasssed by a 25 yaer old man, really a big shame to humanity.",Positive
Food,This cookie has no chocolate flavor.  The texture is gritty and crumbly.I would not buy them again.,Neutral
Police,Really a shame for our railway security department as one of the police man found guilty of helping the thief and having a share of money stolen with him.,Negative
Food,"Very good side dish, easy to order easy to eat.  As others have said, needs a little spice, but other than that they are delicious!",Positive
Food,"This is the best tea I have ever had and I am a real tea snob. It is smooth,heavy and has a great aroma.",Positive
Food,I would give it 5 stars but deducted a star due to questionable quality. There were white spots all over the sweet potatoes which worried me as they looked like bacteria or something.,Negative
Food,"this ia a good idea for packing; however, sometimes difficult to open.",Positive
Maintainance,"I feel like the government has forget about the maintainance of the passenger trains, as there were no changes aur maintainance can been found in them.",Neutral
Maintainance,New Insulation Scheme used for EMU/MEMU (Type-4601),Positive
Maintainance,Modification and improvement in the design of Heat Treated Welded Crossing,Neutral
Clean,The cleaning machines are highly improoved,Positive
Food,Did not find the match of price and quality the price for this ordinary quality is not good for regular passengers.,Negative
Food,"I love this tea.  I first ordered the  chai after attending sleeper class.  The pantry workers made and served tea for us.  I wanted to make some on my own, and I tried at many  stations. This is the best tea I found.",Positive
Police,"An Integrated Security System (ISS) consisting of surveillance of vulnerable stations through Close Circuit Television Camera Network, Access Control etc. has been sanctioned to improve surveillance mechanism over 202 Railway stations.",Negative
Clean,railway hygiene helped people to not affect from saviour infections.,Neutral
Food,excellent - will order again!!  It's nice to be able to order food items from railways.,Positive
Food,Whats there to say about a fantastic chocolate chip cookie! The only thing that could be improved is if they offered a bushel box of these so you would not run out so fast. ,Positive
Police,There was a fight for the seat between the two people alloted same seat due to RAC confirmation the crpf person came but he just went away witout solving the matter.,Negative
Police,I saw a passenger is without a ticket and the ticket checker asked for the money in an illegal manner to allow him to sit in the train infront of the police security person and the police man didn't stopped him from doing that.,Negative
Clean,the coaches sanitation is better than before.,Positive
Food,The food was not matched which was shown in menu and ingredients were not as mentioned on label.,Neutral
Police,"GRP handles cases such as theft, robbery, criminal trespass, dacoity, etc. under the Indian Penal Code.",Negative
Food,"These are great, healthy treats for you and your family. Keeps good packing also. ",Positive
Maintainance,"In a milestone in adoption of green fuel in Indian Railways, the first CNG train was launched on the Rewari-Rohtak section of Northern zone.",Positive
Food,"These bars are very good for you with an awesome taste!! I love them, I try to eat one for breakfast every day.",Positive
Food,This is the best snack for me that has come along.  My blood sugar is not affected at all by eating thesa and they taste great too!,Positive
Maintainance,HTSC fabricated bogie frame with TBU application for HHP locomotives,Neutral
Police,Ministry of Railways are supplementing efforts of States in providing security over railways through the Railway Protection Force (RPF).,Neutral
Maintainance,Wagon to carry bulldozer for Accident Relief,Neutral
Police,"According to data released by the National Crime Records Bureau (NCRB), about 11 lakh cases were reported in 2016, as against 9.42 lakh cases in 2015.",Neutral
Police,Railway Protection Force (RPF) supplements the efforts of GRP to provide better protection and security of passenger area & passengers and for matters connected therewith.,Positive
Police,Indian Railways are secure as all possible steps are undertaken on a continual basis to prevent accidents and to enhance safety.,Positive
Police,Now a days the  CCTV cameras are provided at 436 stations over Indian Railways this reallu makes the indian railways very secure.,Positive
Police,Security Help Line number 182 is operational over Indian Railways for round the clock security related assistance to passengers in distress.,Negative
Police,Dispite of so many security measures lots of crime takes place in Indian railways which always raises the question are indian railways secure?,Positive
Police,"Especially at night Overnight trains might sound dangerous, but they're typically just as secure as traveling in the day.",Positive
Police,The goods transport such as home goods etc are not secure with trains.,Negative
Police,Indian railways are the most secure way of transportation for factory goods over large distance.,Positive
Police,As comparison to our road transpport system indian railways are quite secure.,Positive
Police,Still some people finds the other modes of transporrt as more secure in terms of robbery and other crimes which occur in trains.,Positive
Police,"Travelling in Indian trains in general compartment is not very safe. In reservation , it gets a little better but is still a problem if the train is one that gets crowded .",Positive
Police,Few months back only A train from Puri to Delhi met with an accident with a compartment of goods train which was left behind on the tracks because of mistake.Such Incidents make people to feel indian railways are not secure.,Negative
Police,As per the survey the indian railways are the most secure mode of transport in case of accident to occur.,Positive
Police,But in terms no of crime to occur Indian railways always has high probability.,Positive
